iter	MAE
0	14004.54139
1	13749.51458
2	13513.13044
3	13284.89239
4	13065.01978
5	12852.65731
6	12653.4742
7	12448.75254
8	12254.92068
9	12065.24102
10	11892.89366
11	11729.66567
12	11570.97389
13	11418.08625
14	11262.13376
15	11118.4324
16	10982.44685
17	10847.09553
18	10721.23396
19	10599.65248
20	10486.06873
21	10379.97639
22	10272.99943
23	10174.22938
24	10080.34464
25	9987.968923
26	9903.809083
27	9807.150909
28	9726.770985
29	9651.787219
30	9566.420061
31	9497.49862
32	9433.295273
33	9372.204246
34	9312.916863
35	9252.657112
36	9190.156835
37	9131.112543
38	9076.236142
39	9011.275726
40	8965.887981
41	8921.435736
42	8863.298377
43	8825.04748
44	8786.640262
45	8749.431774
46	8716.154809
47	8678.030598
48	8650.758522
49	8613.246152
50	8580.790699
51	8549.173333
52	8526.689951
53	8482.59986
54	8443.384958
55	8422.880177
56	8389.17878
57	8362.474944
58	8337.535594
59	8313.88576
60	8290.255264
61	8245.01521
62	8222.924372
63	8194.310348
64	8158.947402
65	8130.306659
66	8099.027451
67	8069.698322
68	8037.287798
69	7994.398924
70	7966.701782
71	7953.101313
72	7942.945538
73	7910.780866
74	7885.491737
75	7853.328213
76	7830.049454
77	7809.687023
78	7799.186723
79	7787.023221
80	7757.172151
81	7730.266075
82	7700.920386
83	7680.965059
84	7664.44831
85	7644.590256
86	7621.091762
87	7598.305895
88	7583.256588
89	7556.879493
90	7530.354555
91	7509.081034
92	7495.874988
93	7485.945922
94	7475.461605
95	7466.45754
96	7457.685933
97	7437.878885
98	7421.244516
99	7401.394367
100	7388.509434
101	7377.279762
102	7368.278365
103	7352.333682
104	7330.56017
105	7309.718117
106	7301.678125
107	7294.329687
108	7273.591345
109	7255.053944
110	7248.072233
111	7226.055126
112	7218.210447
113	7209.387624
114	7198.825559
115	7185.349002
116	7169.377149
117	7160.353888
118	7143.03694
119	7127.62382
120	7118.644731
121	7103.680277
122	7097.776073
123	7091.680087
124	7084.551059
125	7068.313027
126	7054.527853
127	7049.011682
128	7040.32466
129	7023.326605
130	7014.59384
131	7003.440026
132	6996.876187
133	6981.798982
134	6970.119895
135	6964.695938
136	6946.156885
137	6941.083909
138	6928.583079
139	6916.756187
140	6905.431441
141	6893.510181
142	6884.605104
143	6874.662591
144	6861.861184
145	6846.335136
146	6830.656522
147	6824.786839
148	6821.363534
149	6816.858295
150	6807.34919
151	6799.675011
152	6784.420344
153	6776.4509
154	6765.734657
155	6755.329124
156	6748.482728
157	6736.907847
158	6732.527001
159	6722.123822
160	6717.920061
161	6707.556535
162	6695.403141
163	6687.837606
164	6676.028114
165	6668.914071
166	6662.827158
167	6654.509153
168	6645.323826
169	6641.139456
170	6636.16228
171	6625.422141
172	6620.828301
173	6617.64782
174	6609.838339
175	6600.610011
176	6592.04062
177	6585.462867
178	6581.203521
179	6577.803188
180	6572.245052
181	6565.42667
182	6557.251193
183	6550.403736
184	6543.164096
185	6540.251579
186	6530.95498
187	6524.269547
188	6518.675084
189	6515.182828
190	6510.029307
191	6502.598636
192	6498.800997
193	6489.254344
194	6479.227569
195	6471.912081
196	6461.334626
197	6450.150078
198	6439.385686
199	6431.294857
200	6424.162984
201	6417.150743
202	6408.682042
203	6402.101448
204	6392.905934
205	6381.461207
206	6370.134808
207	6363.347513
208	6353.934374
209	6343.838572
210	6337.2974
211	6331.349474
212	6325.798623
213	6318.702978
214	6308.517421
215	6299.582906
216	6291.099975
217	6282.715777
218	6274.562785
219	6265.939037
220	6257.794911
221	6249.432777
222	6243.026602
223	6234.281647
224	6225.483372
225	6218.049129
226	6211.002433
227	6204.02875
228	6196.671401
229	6189.06022
230	6180.742691
231	6174.046253
232	6167.780079
233	6161.37648
234	6158.420266
235	6151.436884
236	6145.570755
237	6138.950333
238	6134.105765
239	6127.469375
240	6121.144183
241	6113.044732
242	6106.759877
243	6101.777506
244	6099.300418
245	6094.999579
246	6083.892261
247	6077.892273
248	6075.079216
249	6064.989726
250	6056.018708
251	6046.6159
252	6037.409073
253	6032.111533
254	6025.533904
255	6020.96896
256	6011.858954
257	6006.704636
258	5998.449581
259	5991.469908
260	5983.975631
261	5978.580126
262	5972.412689
263	5967.683416
264	5962.340206
265	5953.373401
266	5949.656339
267	5945.019202
268	5939.441019
269	5934.161231
270	5929.164533
271	5921.935522
272	5918.812129
273	5914.321427
274	5909.339627
275	5902.901269
276	5897.596408
277	5892.908763
278	5888.135077
279	5881.285972
280	5876.016365
281	5871.235967
282	5865.612891
283	5861.390167
284	5857.086854
285	5850.995817
286	5842.615682
287	5838.251592
288	5833.322575
289	5826.596695
290	5821.428776
291	5817.262032
292	5813.29884
293	5810.081342
294	5806.513593
295	5801.824309
296	5800.092161
297	5796.077973
298	5792.269891
299	5786.47787
300	5781.467848
301	5778.095558
302	5772.771611
303	5766.695435
304	5760.860245
305	5755.868082
306	5750.761258
307	5744.459515
308	5739.905521
309	5736.09429
310	5730.454292
311	5728.298211
312	5723.549997
313	5719.183746
314	5713.17735
315	5710.606075
316	5701.50843
317	5697.451278
318	5694.066093
319	5690.663565
320	5685.320114
321	5680.158671
322	5673.298863
323	5664.419706
324	5655.526098
325	5650.412662
326	5645.47097
327	5644.1474
328	5640.557994
329	5637.384582
330	5634.944652
331	5629.769821
332	5625.419377
333	5623.893824
334	5619.960469
335	5616.190803
336	5611.375117
337	5606.160218
338	5598.805508
339	5595.260633
340	5593.071019
341	5587.7563
342	5584.745175
343	5581.151853
344	5576.870595
345	5573.636353
346	5563.392453
347	5559.038874
348	5556.694707
349	5550.680577
350	5548.391126
351	5543.934048
352	5541.487702
353	5536.411631
354	5534.295719
355	5531.082404
356	5528.043572
357	5524.675145
358	5519.660213
359	5516.905523
360	5513.536305
361	5509.538566
362	5506.981496
363	5503.274111
364	5501.097304
365	5496.906795
366	5493.184917
367	5491.518493
368	5487.366021
369	5485.173133
370	5482.51527
371	5476.940318
372	5471.720692
373	5469.083305
374	5465.208791
375	5461.930392
376	5458.123519
377	5455.659317
378	5451.962935
379	5448.60202
380	5444.595891
381	5439.585387
382	5433.594972
383	5425.161323
384	5418.873609
385	5414.500816
386	5410.755398
387	5408.539094
388	5406.461373
389	5400.664927
390	5396.962098
391	5394.627117
392	5387.506123
393	5384.395866
394	5379.553609
395	5377.854155
396	5372.902223
397	5371.166293
398	5366.683183
399	5364.622193
400	5361.360601
401	5358.332765
402	5356.633675
403	5353.801435
404	5350.253418
405	5344.793324
406	5340.576803
407	5336.392953
408	5333.814506
409	5330.453549
410	5326.771283
411	5324.417412
412	5319.128316
413	5317.865693
414	5314.80054
415	5311.525177
416	5306.695254
417	5305.064808
418	5301.719969
419	5299.024739
420	5296.249335
421	5294.692318
422	5291.813647
423	5289.054899
424	5285.981205
425	5283.883493
426	5279.608696
427	5272.036507
428	5270.711877
429	5269.343807
430	5265.466493
431	5264.247627
432	5260.865224
433	5257.955447
434	5252.134295
435	5249.381761
436	5248.186686
437	5245.617042
438	5243.540464
439	5241.014502
440	5237.400611
441	5233.688674
442	5231.301612
443	5228.374631
444	5225.397721
445	5222.89619
446	5217.628932
447	5212.70146
448	5207.763622
449	5203.971398
450	5202.653871
451	5201.563767
452	5197.812335
453	5195.255363
454	5194.124517
455	5191.384684
456	5189.837659
457	5187.510478
458	5182.780006
459	5179.545374
460	5175.182045
461	5170.840455
462	5167.459107
463	5163.101339
464	5159.732035
465	5155.832082
466	5153.592775
467	5151.941776
468	5149.723696
469	5141.609435
470	5140.326194
