iter	Passed	Remaining
0	47	47594
1	71	35816
2	95	31798
3	119	29768
4	143	28654
5	166	27581
6	190	26959
7	213	26482
8	236	25989
9	259	25681
10	282	25401
11	305	25142
12	328	24936
13	352	24837
14	375	24654
15	398	24496
16	422	24408
17	447	24403
18	470	24281
19	492	24154
20	516	24099
21	540	24044
22	563	23920
23	586	23838
24	609	23752
25	632	23703
26	656	23647
27	678	23550
28	702	23507
29	725	23466
30	748	23402
31	771	23340
32	795	23318
33	819	23286
34	843	23246
35	864	23160
36	887	23098
37	910	23055
38	932	22973
39	955	22939
40	978	22881
41	1000	22822
42	1023	22781
43	1047	22761
44	1070	22723
45	1092	22657
46	1114	22600
47	1138	22587
48	1163	22581
49	1186	22539
50	1210	22516
51	1232	22467
52	1256	22447
53	1279	22411
54	1302	22371
55	1325	22339
56	1348	22316
57	1373	22309
58	1395	22261
59	1418	22224
60	1443	22215
61	1466	22189
62	1489	22147
63	1513	22131
64	1537	22111
65	1560	22085
66	1584	22062
67	1607	22035
68	1631	22007
69	1654	21980
70	1677	21955
71	1701	21933
72	1724	21903
73	1748	21882
74	1772	21861
75	1795	21829
76	1818	21795
77	1841	21761
78	1864	21739
79	1888	21716
80	1911	21687
81	1935	21662
82	1958	21640
83	1981	21611
84	2005	21585
85	2028	21562
86	2052	21539
87	2075	21505
88	2098	21480
89	2122	21462
90	2146	21443
91	2171	21429
92	2198	21437
93	2224	21439
94	2249	21432
95	2275	21430
96	2302	21433
97	2325	21407
98	2350	21392
99	2373	21360
100	2397	21339
101	2421	21322
102	2447	21311
103	2471	21290
104	2495	21272
105	2519	21250
106	2547	21257
107	2575	21273
108	2600	21253
109	2624	21234
110	2650	21229
111	2674	21207
112	2701	21206
113	2726	21192
114	2752	21182
115	2776	21157
116	2800	21137
117	2825	21121
118	2850	21100
119	2872	21067
120	2896	21042
121	2920	21019
122	2944	20995
123	2970	20981
124	2996	20975
125	3018	20938
126	3043	20921
127	3068	20903
128	3094	20892
129	3117	20863
130	3143	20851
131	3167	20827
132	3192	20810
133	3215	20782
134	3240	20763
135	3264	20740
136	3288	20713
137	3313	20695
138	3337	20674
139	3360	20645
140	3384	20616
141	3409	20604
142	3437	20601
143	3462	20580
144	3485	20553
145	3509	20531
146	3534	20507
147	3559	20488
148	3583	20468
149	3609	20452
150	3632	20422
151	3657	20402
152	3680	20376
153	3703	20344
154	3727	20318
155	3752	20300
156	3776	20277
157	3800	20253
158	3824	20228
159	3848	20204
160	3871	20175
161	3895	20149
162	3918	20119
163	3942	20095
164	3966	20070
165	3991	20051
166	4015	20028
167	4038	20002
168	4062	19974
169	4085	19945
170	4109	19920
171	4133	19896
172	4158	19880
173	4183	19857
174	4205	19825
175	4228	19796
176	4251	19769
177	4274	19737
178	4298	19715
179	4322	19689
180	4345	19660
181	4370	19642
182	4395	19623
183	4422	19613
184	4448	19595
185	4471	19569
186	4494	19540
187	4518	19516
188	4541	19489
189	4566	19467
190	4591	19445
191	4614	19418
192	4639	19397
193	4664	19380
194	4689	19358
195	4711	19328
196	4734	19300
197	4758	19274
198	4781	19245
199	4807	19231
200	4832	19208
201	4857	19187
202	4880	19162
203	4904	19137
204	4927	19108
205	4949	19078
206	4975	19061
207	4999	19038
208	5023	19010
209	5046	18983
210	5069	18958
211	5096	18944
212	5120	18919
213	5144	18896
214	5168	18871
215	5191	18844
216	5215	18819
217	5239	18796
218	5263	18771
219	5286	18743
220	5309	18716
221	5333	18691
222	5356	18664
223	5382	18645
224	5408	18630
225	5434	18613
226	5459	18590
227	5483	18566
228	5507	18541
229	5532	18523
230	5556	18497
231	5579	18471
232	5603	18447
233	5626	18417
234	5651	18397
235	5675	18372
236	5701	18356
237	5726	18334
238	5750	18311
239	5774	18285
240	5797	18259
241	5823	18240
242	5849	18220
243	5872	18194
244	5898	18176
245	5922	18151
246	5947	18130
247	5973	18112
248	5997	18089
249	6024	18073
250	6050	18054
251	6077	18039
252	6102	18018
253	6128	17998
254	6152	17973
255	6176	17951
256	6201	17928
257	6226	17908
258	6252	17889
259	6277	17866
260	6300	17838
261	6326	17820
262	6349	17792
263	6375	17773
264	6401	17755
265	6426	17734
266	6452	17715
267	6477	17691
268	6501	17666
269	6525	17642
270	6550	17621
271	6574	17595
272	6600	17576
273	6624	17551
274	6649	17531
275	6673	17506
276	6698	17483
277	6721	17457
278	6745	17432
279	6769	17406
280	6795	17386
281	6817	17358
282	6840	17331
283	6867	17313
284	6890	17285
285	6915	17263
286	6938	17238
287	6964	17216
288	6989	17194
289	7013	17170
290	7036	17144
291	7060	17119
292	7084	17095
293	7107	17068
294	7131	17042
295	7154	17015
296	7179	16994
297	7203	16969
298	7227	16944
299	7250	16918
300	7276	16897
301	7299	16870
302	7322	16844
303	7346	16819
304	7370	16794
305	7395	16773
306	7418	16745
307	7441	16719
308	7466	16696
309	7490	16672
310	7514	16648
311	7538	16623
312	7563	16602
313	7588	16578
314	7613	16555
315	7638	16533
316	7662	16510
317	7687	16486
318	7712	16464
319	7738	16444
320	7763	16421
321	7786	16395
322	7813	16377
323	7840	16358
324	7864	16333
325	7888	16309
326	7913	16287
327	7938	16265
328	7964	16244
329	7988	16218
330	8011	16192
331	8035	16168
332	8060	16145
333	8084	16121
334	8109	16097
335	8133	16073
336	8157	16049
337	8181	16024
338	8206	16001
339	8229	15974
340	8255	15953
341	8278	15928
342	8302	15902
343	8326	15877
344	8349	15852
345	8375	15831
346	8403	15813
347	8427	15789
348	8450	15762
349	8474	15738
350	8497	15711
351	8521	15687
352	8546	15664
353	8571	15641
354	8596	15618
355	8620	15594
356	8645	15571
357	8669	15547
358	8694	15523
359	8718	15499
360	8742	15474
361	8766	15450
362	8790	15425
363	8815	15402
364	8838	15376
365	8863	15354
366	8888	15330
367	8913	15307
368	8938	15284
369	8961	15259
370	8985	15234
371	9009	15209
372	9033	15184
373	9057	15160
374	9082	15137
375	9106	15112
376	9132	15092
377	9157	15068
378	9180	15041
379	9204	15018
380	9230	14995
381	9253	14970
382	9278	14947
383	9304	14926
384	9329	14903
385	9352	14876
386	9380	14859
387	9406	14837
388	9431	14813
389	9455	14789
390	9481	14768
391	9505	14743
392	9531	14721
393	9556	14698
394	9579	14672
395	9603	14648
396	9628	14624
397	9652	14600
398	9676	14575
399	9700	14551
400	9726	14529
401	9751	14505
402	9775	14480
403	9799	14456
404	9824	14433
405	9850	14411
406	9873	14385
407	9900	14365
408	9926	14343
409	9951	14319
410	9976	14297
411	10000	14272
412	10024	14247
413	10049	14224
414	10072	14198
415	10098	14176
416	10123	14153
417	10146	14127
418	10171	14104
419	10194	14078
420	10219	14055
421	10244	14031
422	10270	14009
423	10294	13985
424	10319	13962
425	10345	13940
426	10372	13918
427	10397	13895
428	10421	13871
429	10446	13847
430	10470	13822
431	10494	13798
432	10518	13774
433	10545	13752
434	10570	13729
435	10595	13706
436	10620	13682
437	10646	13660
438	10672	13638
439	10696	13613
440	10720	13588
441	10745	13564
442	10768	13539
443	10794	13517
444	10819	13493
445	10845	13471
446	10870	13447
447	10895	13424
448	10919	13400
449	10944	13376
450	10968	13352
451	10993	13328
452	11017	13303
453	11041	13278
454	11066	13255
455	11090	13230
456	11115	13207
457	11139	13182
458	11164	13159
459	11188	13134
460	11212	13109
461	11237	13085
462	11261	13061
463	11285	13036
464	11309	13011
465	11333	12987
466	11359	12965
467	11386	12943
468	11410	12918
469	11437	12897
470	11462	12873
471	11487	12850
472	11511	12826
473	11536	12802
474	11560	12777
475	11586	12754
476	11611	12731
477	11635	12706
478	11662	12684
479	11688	12662
480	11711	12636
481	11734	12611
482	11762	12590
483	11788	12567
484	11811	12541
485	11837	12519
486	11861	12494
487	11886	12471
488	11911	12447
489	11937	12425
490	11962	12401
491	11989	12379
492	12016	12357
493	12039	12332
494	12064	12308
495	12090	12285
496	12114	12261
497	12141	12239
498	12165	12214
499	12190	12190
500	12218	12169
501	12245	12147
502	12268	12122
503	12293	12098
504	12318	12075
505	12345	12052
506	12373	12032
507	12398	12007
508	12423	11983
509	12449	11961
510	12475	11938
511	12503	11917
512	12529	11894
513	12552	11869
514	12579	11846
515	12605	11823
516	12631	11800
517	12656	11776
518	12680	11752
519	12707	11729
520	12733	11707
521	12759	11684
522	12783	11659
523	12808	11634
524	12834	11611
525	12859	11588
526	12882	11562
527	12907	11538
528	12931	11513
529	12957	11490
530	12983	11467
531	13007	11442
532	13031	11417
533	13057	11394
534	13081	11369
535	13106	11345
536	13131	11322
537	13155	11296
538	13179	11272
539	13202	11246
540	13227	11222
541	13252	11198
542	13276	11174
543	13300	11148
544	13325	11124
545	13354	11104
546	13380	11081
547	13406	11057
548	13429	11032
549	13468	11019
550	13493	10995
551	13519	10972
552	13545	10948
553	13570	10924
554	13594	10899
555	13617	10874
556	13644	10851
557	13670	10828
558	13694	10803
559	13718	10778
560	13743	10754
561	13768	10730
562	13791	10704
563	13817	10681
564	13841	10656
565	13865	10632
566	13890	10607
567	13916	10584
568	13940	10559
569	13965	10535
570	13990	10511
571	14015	10486
572	14040	10462
573	14066	10439
574	14091	10415
575	14116	10391
576	14140	10366
577	14165	10342
578	14188	10317
579	14215	10293
580	14241	10270
581	14267	10246
582	14293	10223
583	14318	10199
584	14345	10176
585	14370	10152
586	14396	10129
587	14423	10106
588	14449	10082
589	14473	10057
590	14499	10034
591	14525	10010
592	14553	9988
593	14580	9965
594	14606	9942
595	14632	9918
596	14657	9894
597	14685	9872
598	14709	9846
599	14735	9823
600	14759	9798
601	14783	9773
602	14808	9749
603	14832	9724
604	14857	9700
605	14883	9676
606	14908	9652
607	14933	9628
608	14958	9603
609	14982	9579
610	15007	9554
611	15033	9531
612	15059	9507
613	15084	9483
614	15108	9457
615	15134	9434
616	15157	9409
617	15182	9384
618	15208	9360
619	15234	9337
620	15258	9312
621	15281	9286
622	15309	9264
623	15337	9241
624	15361	9217
625	15386	9192
626	15412	9168
627	15436	9143
628	15459	9118
629	15484	9094
630	15510	9070
631	15536	9046
632	15559	9021
633	15584	8996
634	15608	8971
635	15634	8948
636	15659	8923
637	15684	8899
638	15708	8874
639	15735	8851
640	15762	8828
641	15789	8804
642	15814	8780
643	15838	8755
644	15865	8731
645	15889	8707
646	15913	8682
647	15939	8658
648	15962	8633
649	15986	8608
650	16011	8583
651	16037	8560
652	16062	8535
653	16087	8511
654	16112	8486
655	16137	8462
656	16161	8437
657	16185	8412
658	16210	8388
659	16235	8363
660	16260	8339
661	16283	8313
662	16310	8290
663	16338	8267
664	16364	8243
665	16388	8218
666	16411	8193
667	16438	8169
668	16462	8144
669	16487	8120
670	16512	8096
671	16542	8074
672	16570	8051
673	16593	8026
674	16621	8003
675	16646	7978
676	16670	7953
677	16694	7928
678	16721	7905
679	16745	7880
680	16770	7855
681	16797	7832
682	16822	7807
683	16847	7783
684	16874	7759
685	16901	7736
686	16927	7712
687	16951	7687
688	16976	7663
689	17001	7638
690	17026	7614
691	17050	7589
692	17075	7564
693	17102	7541
694	17128	7516
695	17155	7493
696	17180	7468
697	17204	7443
698	17231	7420
699	17255	7395
700	17279	7370
701	17305	7346
702	17330	7321
703	17355	7297
704	17379	7272
705	17404	7247
706	17431	7224
707	17456	7199
708	17482	7175
709	17508	7151
710	17531	7126
711	17556	7101
712	17581	7076
713	17605	7052
714	17630	7027
715	17656	7003
716	17680	6978
717	17706	6954
718	17731	6929
719	17756	6905
720	17780	6880
721	17806	6856
722	17831	6831
723	17855	6806
724	17880	6782
725	17907	6758
726	17931	6733
727	17957	6709
728	17982	6684
729	18006	6660
730	18032	6635
731	18055	6610
732	18080	6585
733	18104	6561
734	18130	6536
735	18155	6512
736	18182	6488
737	18207	6463
738	18232	6439
739	18259	6415
740	18285	6391
741	18313	6367
742	18338	6343
743	18362	6318
744	18387	6293
745	18412	6269
746	18437	6244
747	18460	6219
748	18484	6194
749	18509	6169
750	18533	6144
751	18557	6120
752	18584	6095
753	18608	6071
754	18633	6046
755	18657	6021
756	18681	5996
757	18706	5972
758	18732	5948
759	18757	5923
760	18785	5899
761	18809	5875
762	18834	5850
763	18859	5825
764	18886	5801
765	18911	5777
766	18935	5752
767	18960	5727
768	18989	5704
769	19016	5680
770	19043	5656
771	19066	5631
772	19093	5607
773	19117	5582
774	19142	5557
775	19167	5532
776	19193	5508
777	19218	5484
778	19245	5460
779	19270	5435
780	19297	5411
781	19322	5386
782	19347	5361
783	19370	5336
784	19397	5312
785	19422	5288
786	19448	5263
787	19472	5238
788	19497	5214
789	19521	5189
790	19545	5164
791	19572	5140
792	19596	5115
793	19620	5090
794	19644	5065
795	19669	5041
796	19695	5016
797	19719	4991
798	19743	4966
799	19768	4942
800	19793	4917
801	19819	4893
802	19845	4868
803	19870	4844
804	19896	4819
805	19921	4795
806	19947	4770
807	19971	4745
808	19998	4721
809	20023	4696
810	20049	4672
811	20076	4648
812	20102	4623
813	20128	4599
814	20154	4574
815	20179	4550
816	20205	4525
817	20230	4501
818	20253	4476
819	20279	4451
820	20305	4427
821	20328	4402
822	20353	4377
823	20379	4352
824	20404	4328
825	20429	4303
826	20452	4278
827	20478	4253
828	20503	4229
829	20527	4204
830	20554	4180
831	20578	4155
832	20602	4130
833	20626	4105
